1 278348 0.027824
2 278381 0.027827
3 277914 0.027781
4 277707 0.027760
5 278109 0.027800
6 278218 0.027811
7 278521 0.027841
8 277283 0.027718
9 277047 0.027694
10 278168 0.027806
11 277214 0.027711
12 277797 0.027769
13 278083 0.027798
14 277720 0.027761
15 277991 0.027788
16 278064 0.027796
17 278371 0.027826
18 277357 0.027725
19 279634 0.027953
20 277650 0.027754
21 278125 0.027802
22 277086 0.027698
23 278005 0.027790
24 278418 0.027831
25 277675 0.027757
26 277435 0.027733
27 278396 0.027829
28 278005 0.027790
29 277840 0.027773
30 277673 0.027757
31 277435 0.027733
32 278452 0.027835
33 277795 0.027769
34 277192 0.027709
35 277810 0.027770
36 276919 0.027681
